month,latitude,longitude,tg
1,50.875,8.875,3.6322479248046875
2,50.875,8.875,-2.9555492401123047
3,50.875,8.875,-1.7355823516845703
4,50.875,8.875,4.180340766906738
5,50.875,8.875,3.0198545455932617
6,50.875,8.875,2.010204315185547
7,50.875,8.875,2.723602294921875
8,50.875,8.875,2.4330787658691406
9,50.875,8.875,0.9500398635864258
10,50.875,8.875,0.9957599639892578
11,50.875,8.875,0.7577018737792969
12,50.875,8.875,2.603731393814087
